N,P,K,temperature,humidity,ph,rainfall,label,youtube link
94,37,41,24.7634518,87.06071115,6.463538707,179.1630865,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
60,55,36,26.12797248,80.49172597,7.132389299,150.6326874,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
62,56,35,25.97825807,81.65769588,6.235357638,163.3488091,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
84,40,42,26.2830571,73.35763537,6.704273839,186.6898282,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
100,56,40,26.38905406,83.31240346,7.433313409,176.1516409,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
82,48,36,25.79351957,81.76904006,6.352076783,193.2418382,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
100,58,41,23.17403323,87.88255345,6.658769991,160.6217342,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
88,50,40,25.63215038,79.95150917,7.051822472,182.2582277,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
67,41,40,25.848795,87.81661683,7.333143205,152.6194403,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,40,43,26.24532085,72.97198375,7.124050134,189.9711184,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,57,43,26.91515043,73.19897535,6.998787171,177.2233048,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
61,41,44,24.36972377,82.11319791,6.537914958,159.9210934,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
84,40,43,25.01157559,88.3313023,7.228268228,169.4168014,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
98,43,35,25.40785911,76.44048625,7.319952206,188.6372826,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
75,36,44,23.28081,74.27607475,6.613341343,153.7447398,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
91,41,37,24.48556447,83.20630007,6.132570523,192.2316221,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
77,48,36,25.86705009,84.09985284,7.36008498,154.8390847,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
66,58,35,23.5643831,79.46283115,7.321619041,185.25947,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
62,59,41,24.2248758,74.89465426,7.175170657,192.4931257,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
82,35,35,25.49386782,86.97061481,7.299076163,176.5268267,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
61,41,35,24.97178693,79.47557931,6.842966479,195.7571622,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
99,57,38,24.80624984,82.09281674,6.356295568,156.3616174,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
70,42,43,23.16814977,76.66724969,6.508342839,157.1215052,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
90,59,35,24.25133493,89.86454053,7.098227926,175.1742112,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
73,43,42,26.58361011,78.00774772,6.310699968,154.8238864,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
67,46,44,26.82489244,78.20392774,7.093328631,153.9199807,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
84,37,42,25.49674786,81.13449097,6.691074249,169.9288234,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
72,41,36,24.09874353,80.57226761,6.187746776,176.8604109,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
71,56,37,23.18866654,86.20899734,6.491506245,176.103677,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
64,53,38,26.24347471,78.51063754,6.855362875,183.4065252,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
65,54,39,23.75091572,71.14782585,7.124571593,160.0889553,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
86,39,43,26.14576648,71.23690851,6.432051512,193.1007598,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
90,50,44,26.91643698,73.48655995,6.253408852,171.4716375,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
91,38,36,26.5232969,77.17331847,7.287318723,157.8548562,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
87,48,38,23.81579631,80.94023552,7.161865733,190.312216,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
72,41,36,26.50838667,86.84264005,6.065898283,152.9801697,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
71,54,35,26.63952463,70.95705996,7.311077075,199.3355744,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
82,46,41,23.3250131,79.79609448,6.581693772,187.3096148,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
71,52,43,26.47549543,73.96164569,6.732826127,180.2513601,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
80,43,43,23.78756036,74.36794079,6.014572075,172.6442654,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
77,55,43,25.49941707,75.99987588,6.663559451,193.7141828,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
95,57,41,23.24925555,73.65346838,6.434610995,184.7674863,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
63,47,35,26.98582182,89.05587886,7.432768147,193.8778713,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
93,43,38,23.61475336,86.14290267,6.987332927,150.2355238,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
88,52,39,23.92887902,88.07112278,6.880204617,154.6608736,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
90,39,37,24.81441246,81.68688879,6.86106911,190.7886386,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
90,39,43,24.44743944,82.286484,6.7693455,190.9684885,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,Maize,https://youtu.be/0uvtkOeSPT0?si=lg3w0L07J37mONUS
